truku	zh	en	fr	headword
Ini su qlahang muda dgiyaq o, mqlahang bi ka ppais.	你在山中行走若不留神，敵人可是很警覺的。	If you are not attentive when travelling in the mountains, the enemies, for their part, are vigilant.	Si toi tu n'es pas attentif pour voyager dans la montagne, les ennemis, eux, sont vigilants.	KLAXANG
Pirin ka mqlahang nami; hiya ka qmlahang mnan.	Pilin是我們的負責人；是他在管我們。	Pilin is our person in charge; he is the one who oversees us.	C'est Pirinne notre responsable ; c'est lui qui nous contrôle.	KLAXANG
Qlhangi bi, naqih bi daan ka dowras.	千萬小心！岩石間的路很不好走！	Be very careful! The passage through the rocks is not easy!	Fais bien attention ! Le passage n'est pas facile dans les rochers !	KLAXANG
Qlhngani Tadaw ka lqlaqi su matas.	讓Tadao替你看管你學校的孩子們。	Have Tadao watch over the children of your school.	Fais surveiller par Tadao les enfants de ton école.	KLAXANG
Mqriqu bi qmpah; ya sa llabang bi ka qlhangan mu.	這事真不容易！我要看守的範圍實在遼闊。	It is not easy to do! The territory I have to watch over is truly vast.	Ce n'est pas facile à faire ! Il est vraiment vaste le territoire que je dois surveiller.	KLAXANG
Naqih bi ka qnlhangan na ka dknsat seuxal.	從前日本人的統治（日本人強加的紀律）實在嚴苛。	The administration (the discipline imposed by the Japanese) of the Japanese in former times was truly harsh.	Elle était vraiment dure l'administration (la discipline imposée par les japonais) des japonais autrefois.	KLAXANG
Tqlahang bi meiyaw ka yamu.	你們要保持清醒、警醒。	You, stay awake and vigilant.	Vous, restez éveillés et vigilants.	KLAXANG
Kingal klgan payay ka nii ni kingal nanak ka ga.	這裡是一種（品種的）稻米，那裡又是另一種（不同的）。	Here is one sort (variety) of rice, and there is another (different) one.	Ici c'est une sorte (variété) de riz et là c'en est une autre (différente).	K'LGAN
Ma spahung bi ka Tiing! … Kiya ka klgan na.	哎呀！Tchiinne脾氣真大！……她就是那個樣子！	My! She is really quick-tempered, Tchiinne! … That is how she is!	Mais ! Elle est bien coléreuse, Tchiinne ! … Elle est comme cela !	K'LGAN
Qrngul kana ka sapah mu.	我的房子滿是煙。（到處都是煙。）	My house is all full of smoke. (There is smoke everywhere.)	Ma maison est toute pleine(?) de fumée. (Il y a de la fumée partout).	KL'NGUN
Mqrngul kana ka sapah mu.	我的房子整個被煙燻滿了。	My house is completely filled with smoke.	Ma maison est tout enfumée.	KL'NGUN
Yupi cicih! Ma su pqrngul kana sapah.	（對著火）吹一吹吧！你沒看到你把整間屋子都燻滿了煙嗎？	Blow a little (on the fire)! Don't you see that you are filling the whole house with smoke?	Souffle donc un peu (sur le feu) ! Tu ne vois pas que tu enfumes toute la maison ?	KL'NGUN
Suqi lala bi ka krubaw sapah su.	你家的蜘蛛實在太多了！	There really are too many spiders at your house!	Il y a vraiment trop d'araignées chez toi !	KLOBAO
Kaji krubaw, ksun ta o, saw tnunan krubaw kana mtqiri, kiya.	我們說：Kadi klobao（蜘蛛網），就是蜘蛛到處織的東西，就是這樣。	We say: Kadi klobao (spider's web). It is what the spiders weave everywhere, that's it.	Nous disons : Kadi klobao (toile d'araignée) C'est ce que les araignées tissent partout, voilà.	KLOBAO
Ida mkrung kana dqras na ka dpay ni baki.	祖母和祖父的臉自然都布滿皺紋。（……臉上滿是皺紋。）	Naturally the faces of the grandmothers and grandfathers are all wrinkled. (… Have faces all full of wrinkles).	Naturellement le visage des grand-mères et des grand pères est tout ridé. (… Ont le visage tout plein de rides).	K'LONG
Tru iyax hngkawas ka krhan karat da kika paru bi krayan da!	天空乾旱（貧瘠）已經三年了；正因如此，現在才鬧饑荒。	For three years now the sky has been dry (sterile); and that is why there is now famine.	Voilà trois ans de temps que le ciel est sec (stérile) ; et c'est pour cela que c'est maintenant la famine.	K'LOX
Smiyah balay drmul paah baraw ka mkruh bi dxgal.	乾旱的土地渴望露水降臨（自上而降）。	An arid piece of land longs to see the dew come (coming down from above).	Un terrain aride désire voir venir la rosée (venue d'en haut).	K'LOX
Mkluwi kana ka lqlaqi mita knslikaw tlaman niya.	所有孩子看到他跑得那麼快，都（帶著讚賞）驚嘆不已。	All the children are amazed (in admiration) at seeing the speed of his running.	Tous les enfants s'étonnent (en admirant) en voyant la vitesse de sa course.	KLUI
Asi nkluwi embahang kari na nii asaw laqi ka tama.	父親聽到他關於孩子的那些話，非常吃驚。	The father was quite astonished on hearing his words about the child.	Le père fut tout étonné en entendant ses paroles à propos de l'enfant.	KLUI
Saw paru bi klwiun ka saw snru su suni.	你剛才對我們講的（告訴我們的）真是奇妙。	What you have just told us (shared with us) is truly marvellous.	C'est vraiment merveilleux ce que tu viens de nous raconter (nous faire part).	KLUI
Asi tkluwi kana da ni empprngaw dha saw ddaun.	他們都十分驚訝，開始彼此商量該怎麼辦。	They are all astonished and begin to discuss among themselves what had to be done.	Ils sont tout étonnés et se mettent à discuter entre eux de ce qu'il fallait faire.	KLUI
Snbu su puniq sayang o, ini ku snkluwi ka yaku.	你剛才開了槍；而我，我沒有被嚇到（那並沒有讓我吃驚）。	You have just fired the gun; as for me, I did not jump (it did not startle me).	Tu viens de tirer du fusil ; moi, je n'ai pas sursauté (celà ne m'a pas étonné).	KLUI
Mskluwi ku embahang nkari su.	聽到你剛才說的話，我嚇了一跳。	I am startled on hearing what you have just said.	Je sursaute en entendant ce que tu viens de dire.	KLUI
Saw bi sklwiun ka bnhangan mu kari.	我所聽到的話真令人心驚。	What I have heard said is alarming.	C'est affolant ce que j'ai entendu dire.	KLUI
Muutux su! Ma su hmut pskluwi sjiqun!	你瘋了（你腦子壞了！）！你是怎麼回事，竟去嚇人？	You are mad (you are cracked!)! What has got into you, frightening people?	Tu es fou (tu es sonné !) ! Qu'est ce qui te prend de faire peur aux gens ?	KLUI
Ma su mngangah muda pskluwi sapah dha!	你跑去別人家嚇人，實在不聰明！	It is not clever of you to go and cause fright at other people's houses!	Tu n'es pas malin d'aller te faire effrayer chez les autres !	KLUI
Uxay bi psklwiun ka Tadaw sayang; ga knriwa bi mnarux.	現在不是去嚇Tadao的時候（不可驚嚇他）；他病得很重。	This is not the time to go and frighten Tadao (he is not to be startled); he is very seriously ill.	Ce n'est pas le moment d'aller faire peur à Tadao (il n'est pas à faire sursauter) ; Il est très gravement malade.	KLUI
Wada qluli yayung ka snaw na.	她的丈夫被急流沖走而死。	Her husband died carried away by the torrent.	Son mari est mort emporté par le torrent.	KLULI
Saun misu pqluli yayung.	我要把你丟進急流裡淹死。	I will go and drown you in the torrent.	J'irai te noyer dans le torrent.	KLULI
Ga kmrut babuy sapah Unang na ka Jiyan.	Jiyan正在他兒子Unag（Ounang）家殺豬。	Jiyan is killing a pig at the house of his son Unag (Ounang).	Djian est en train de tuer un cochon chez son fils Unag (Ounang).	K'LUT
Nta da! Mha ta kmrut payay kana da.	走吧！我們都去割稻。	Come on! We are all going to harvest the rice.	Allons ! Nous allons tous moissonner le riz.	K'LUT
Saun mu saman pkrut baga mu.	我明天要去動手部的手術。	Tomorrow I will go and have my hand operated on.	J'irai demain me faire opérer la main.	K'LUT
Krtan babuy ka kiya, ungat bi jiyax ta.	殺豬的時候快到了；我們實在沒有時間。	It is going to be the time to kill the pig; we really have no time.	Celà va être le moment de tuer le cochon ; nous n'avons vraiment pas le temps.	K'LUT
Mnusa su pkrut hiyi o, ya paru bi ka knrtan da?	你去動了手術，我想切口很大吧？	You went to have an operation; I suppose the incision is very large?	Tu es allé te faire opérer, je suppose que l'entaille est très grande ?	K'LUT
Mkreurus namu mksa kika ini tduwa.	你們各走各的，所以事情才不順！	You each walk your own way; that is why it does not work!	Vous marchez chacun de votre côté, c'est pour celà que celà ne va pas !	KLUULUS
Ana ku empiya ka empkreurus ku dhyaan o, ida rndah miyah mgrahul ka dhiya.	無論我驅散他們多少次，他們每次都變本加厲地回來。	However many times I disperse them, just as many times they come back all the more.	Autant de fois que je les disperse autant de fois ils reviennent de plus belle.	KLUULUS
Ga tkreurus kana ka dhiya, huya mu ksun pssli dhyaan?	他們全都四散在各處，我要怎麼把他們聚集起來？	There they are, all scattered to the four corners; what can I do to gather them together?	Les voilà tous dispersés aux quatre coins, que puis je faire pour les rassembler ?	KLUULUS
Babaw pnkrrusan na lqlaqi ka kumay do, wada saw bi embasi kana ka mkealang ta.	熊把孩子們全都驅散之後，我們村裡人人如喪親般（悲傷……）。	After the bear had scattered all the children, everyone in our village was as if in mourning (sad.).	Après que l'ours eut dispersé tous les enfants, tous dans notre village étaient comme en deuil (tristes.).	KLUULUS
Wada su qrhiqun ka luqih su duri.	你又把你的傷口擦破了！	You have scraped your wounds open again!	Tu as encore écorché tes plaies !	KL'XEQ
Mqrhiq kana ka muhing mu da!	我的鼻子整個都破皮了（掉皮）。參見 L'XEQ。	My whole nose is scraped raw (is losing its skin). See L'XEQ.	Tout mon nez est écorché (perd sa peau). VR. L'XEQ.	KL'XEQ
Yahun misu kmaraw ka tqian su.	我要來整理你的床（你的臥室，你睡覺的地方）。參見 QALAO。	I want to come and put your bed in order (your bedroom, the place where you sleep). See QALAO.	Je veux venir mettre en ordre ton lit (ta chambre à coucher, l'endroit où tu dors). VR. QALAO.	KMALAO
Mnusa ku kmdamat Banan snduray.	我最近去問候了Iban。參見 DAMAT。	I recently went to greet Iban. See DAMAT.	Je suis allé dernièrement saluer Ibanne. VR. DAMAT.	KMDAMAT
Kmuluh tasil.	鑿石用的鑿子。	Chisel for cutting stone.	Ciseau pour la taille des pierres.	KMOLOX
Kingal paru bi qnpuringan swatan mniyah sntlung knan.	一大群布農人（=布農族）前來與我相遇。	A crowd of Bununs (= the Bunun people) came to meet me.	Une foule de Bununs (= Peuple Bounoun) est venue à ma rencontre.	KMPOLING
Ungat ka qmsul sunan da.	再也沒有人捏你了。參見 K'SUL。	There is no longer anyone who pinches you. See K'SUL.	Il n'y a plus personne qui te pince. VR. K'SUL.	KM'SUL
Aji bi empghiyi ka payay mu, kmux kana da.	我的稻子不可能結實，到處都是稗草。	It is not possible for my rice to bear fruit; there are tares everywhere.	Ce n'est pas possible que mon riz puisse donner du fruit, c'est de l'ivraie partout.	K'MUX
Risaw.	年輕人。	Young man.	Jeune homme.	KN
Knrisaw.	年輕人的特質。	The quality of being a young man.	La qualité de jeune homme.	KN
Tayal rudan.	哦！這老人！	Oh! The old man!	Oh ! Le vieux !	KN
Tayal knrudan.	哦！他多麼老啊！	Oh! How old he is!	Oh ! Ce qu'il est vieux !	KN
Seejiq.	人。	Person.	Personne.	KN
Knseejiq.	為人之充實=俊美。	Density of human person = handsome.	Densité de personne humaine = Beau.	KN
Sluun mu kingal qnalang stabug mu rudux.	我要建一個圍欄來養雞。參見 ALANG。	I want to build an enclosure to raise chickens. See ALANG.	Je veux construire un enclos pour élever des poules. VR. ALANG.	KNALANG
Suqi qling bi ka qnawal mu, ini biyaw mstuq.	我的鐵絲太細，很快就斷。	My iron wire is too thin; it breaks very quickly.	Mon fil de fer est trop fin, il casse très vite.	KNAWAL
Kndadax ku Tagahan mgrbu suni.	我今天早上從Tagahan出發。	I left Tagahan this morning.	Je suis parti de Tagarhan ce matin.	KNDADAX
Samat bi manu ka gaga? … Ida bi kndsan mirit.	那隻野獸究竟是哪一種獵物？……大概是山羊之類。	What kind of game can that beast over there be? … No doubt of the goat kind.	Quelle espèce de gibier peut bien être cette bête là ? … Sans doute de la sorte des chèvres.	KND'SAN
Klaun su smpung ka kndxan qcinuh gaga hu?	你能量出那塊木板的厚度嗎？	Could you measure the thickness of that plank over there?	Saurait tu mesurer l'épaisseur de cette planche là ?	KNDUX
Meuxul bi ka lukus mu, tai nanak ka kndxan niya.	我的衣服很暖和，你看看它們有多厚。	My clothes are very warm; just look at their thickness.	Mes habits sont bien chauds, regarde un peu leur épaisseur.	KNDUX
Ini knihur ka mami, tlahi ka mnihur bi.	橘子不苦，苦的是柚子。	Oranges are not bitter; it is the pomelo that is.	Les oranges ne sont pas amères, c'est le pamplemousse qui l'est.	KNIXOL
Paah knhuran lnglungan na nanak ka srngaw na.	他（這樣）說話，只是出於他內心的苦楚。（是那苦楚……使他說話。）	He speaks (thus) only out of the bitterness of his heart. (It is the bitterness … That makes him speak.)	Il parle (ainsi), ce n'est que par l'amertume de son coeur. (L'amertume … Qui le fait parler).	KNIXOL
Pknhuri cicih ka damat su.	你的菜應該再加辣一點。	You should spice your vegetables a little more.	Il faut épicer un peu plus tes légumes.	KNIXOL
Ma su qnlqah (qmlqah?) papak mu.	你是怎麼了，竟踩我的腳？	What has got into you, stepping on my foot?	Qu'est ce qui te prend de me marcher sur le pied ?	KNKAX
Ungat qnlqahan da; slaq ana inu!	沒有地方可以落腳！到處都是泥巴！	There is nowhere to set foot! There is mud everywhere!	Il n'y a pas où poser le pied ! C'est de la boue partout !	KNKAX
Malu mnarux na hu? … Knriwa da!	他的病好些了嗎？……反而更嚴重了！	Is his illness getting better? … It is getting worse!	Son mal va mieux ? … Celà empire !	KNLIWA
Knriwa bi ka papak na.	他的腳越來越糟了！	His foot is going from bad to worse!	Son pied va de mal en pis !	KNLIWA
Saun mu phiyu knuruh sapah.	我要去把它豎立在屋脊上(或：我要去建造房子的頂部(?))。	I will go and set it up on the ridge of the house (var. I will go build the top of the house (?)).	J'irai le dresser sur le faîte de la maison (vl. J'irai construire le sommet de laison (?)).	KNOLOX
